"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3090000","3090000-102-1999-04516","19990329","","03","폐업","02","폐업","20121011","","","","02 9036897","673.60","132898","서울특별시 도봉구 창동 10-1번지 ","서울특별시 도봉구 노해로69길 15-15 (창동)","01414","국빈관","2012-08-09 13:58:13","I","2018-08-31 23:59:59.0","고고(디스코)클럽","204354.5            ","461162.92           ","고고(디스코)클럽","13","3","유흥업소밀집지역","자율","상수도전용","","","","","","","","","N","673.6","","",""
"3090000","3090000-102-1999-04547","19990419","","03","폐업","02","폐업","20000417","","","","02 9069942","278.14","132898","서울특별시 도봉구 창동 10-3번지 ","","","백악관","2000-04-17 00:00:00","I","2018-08-31 23:59:59.0","카바레","204397.004135761    ","461175.40204195     ","카바레","3","0","기타","자율","상수도전용","","","","","","","","","N","278.14","","",""
"3090000","3090000-102-1999-04654","1999-06-17","","01","영업/정상","01","영업","","","","","02 9955001","325.88","132-898","서울특별시 도봉구 창동 12-1","서울특별시 도봉구 노해로69길 21-11 (창동)","01414","아바타","2023-11-01 15:58:29","U","2022-11-01 00:03:00.0","룸살롱","204348.91","461195.825","","","","","","","","","","","","","","","","","","",""
"3090000","3090000-102-1999-04695","19990712","","03","폐업","02","폐업","20000217","","","","02 9968029","84.36","132711","서울특별시 도봉구 창동 16-0번지 제일빌딩 지하 101호 ","","","샤넬","2000-02-17 00:00:00","I","2018-08-31 23:59:59.0","룸살롱","204462.811445887    ","461156.29642481     ","룸살롱","0","2","기타","기타","상수도전용","","","","","","","","","N","84.36","","",""
"3090000","3090000-102-1999-04862","1999-11-12","","01","영업/정상","01","영업","","","","","02 9049920","112.50","132-898","서울특별시 도봉구 창동 13","서울특별시 도봉구 마들로11길 65, 지하2층 (창동, 유진빌딩)","01414","아레나","2023-09-18 17:29:23","U","2022-12-08 22:00:00.0","룸살롱","204317.264907404","461224.014056627","","","","","","","","","","","","","","","","","","",""
"3090000","3090000-102-1999-04890","19991204","","03","폐업","02","폐업","20161118","","","","02  993 0088","376.30","132898","서울특별시 도봉구 창동 5-0번지 지하1층 ","서울특별시 도봉구 마들로11가길 12, 지하1층 (창동)","01414","애송이","2014-07-15 13:37:26","I","2018-08-31 23:59:59.0","룸살롱","204238.33386129     ","461159.384486912    ","룸살롱","","","","","상수도전용","","","","","","","","","N","376.3","","",""
"3090000","3090000-102-1999-04922","19991220","","03","폐업","02","폐업","20130417","","","","02 9002504","270.10","132898","서울특별시 도봉구 창동 6-1번지 ","서울특별시 도봉구 마들로11가길 13-6, 지상3층 (창동)","01414","상상 가요방","2013-03-27 16:56:24","I","2018-08-31 23:59:59.0","룸살롱","204303.405          ","461147.92           ","룸살롱","","","","","상수도전용","","","","","","","","","N","270.1","","",""
"3090000","3090000-102-2000-04957","20000125","","03","폐업","02","폐업","20101104","","","","02 9064666","101.76","132898","서울특별시 도봉구 창동 12-1번지 (지상6층) ","","","코리아나","2006-11-23 00:00:00","I","2018-08-31 23:59:59.0","룸살롱","204348.91           ","461195.825          ","룸살롱","0","0","유흥업소밀집지역","자율","상수도전용","","","","","","","","","N","101.76","","",""
"3090000","3090000-102-2000-04983","20000221","","01","영업/정상","01","영업","","","","","02 9001055","270.75","132898","서울특별시 도봉구 창동 6-1 (지하1층) ","서울특별시 도봉구 마들로11가길 13-6, 지하1층 (창동)","01414","코리아","2020-11-30 14:56:43","U","2020-12-02 02:40:00.0","룸살롱","204303.405          ","461147.92           ","룸살롱","","","","","","","","","","","","","","Y","270.75","","",""
"3090000","3090000-102-2000-05073","20000502","","01","영업/정상","01","영업","","","","","02 9976433","182.52","132899","서울특별시 도봉구 창동 16번지 지하1층 ","서울특별시 도봉구 노해로 389, 지하1층 (창동, 제일빌딩)","01415","기모찌","2019-03-20 17:17:35","U","2019-03-22 02:40:00.0","룸살롱","204462.811445887    ","461156.29642481     ","룸살롱","","","","","","","","","","","","","","Y","182.52","","",""
"3090000","3090000-102-2000-05153","20000706","","03","폐업","02","폐업","20210209","","","","02  994 8509","162.10","132866","서울특별시 도봉구 쌍문동 88-1 (지하1층) ","서울특별시 도봉구 도봉로 511, 지하1층 (쌍문동)","01442","명월관","2021-02-09 10:06:56","U","2021-02-11 02:40:00.0","룸살롱","203088.529020092    ","460968.27605232     ","룸살롱","","","기타","","상수도전용","","","","","","","","","Y","162.1","","",""
"3090000","3090000-102-2000-05358","20001220","","03","폐업","02","폐업","20210415","","","","02  997 3994","121.69","132898","서울특별시 도봉구 창동 13-3 ","서울특별시 도봉구 노해로69길 25, 지하1층 (창동)","01414","블루문","2021-04-15 15:37:08","U","2021-04-17 02:40:00.0","룸살롱","204380.842681685    ","461241.91936739     ","룸살롱","","","","","상수도전용","","","","","","","","","Y","121.69","","",""
"3090000","3090000-102-2001-05551","20011106","","01","영업/정상","01","영업","","","","","02 9026630","120.96","132908","서울특별시 도봉구 창동 331-2번지 ","서울특별시 도봉구 노해로65길 17, 지하1층 101호 (창동, 중앙빌딩)","01405","왕과비","2018-03-15 15:58:32","I","2018-08-31 23:59:59.0","카바레","203996.840075352    ","461075.899847175    ","카바레","","","","","","","","","","","","","","Y","120.96","","",""
"3090000","3090000-102-2001-05656","20011128","","03","폐업","02","폐업","20060718","","","","02 9960929","463.51","132898","서울특별시 도봉구 창동 3-3번지 콤마프라자지하1층 ","","","KBS노래자랑","2005-05-23 00:00:00","I","2018-08-31 23:59:59.0","룸살롱","204263.706546457    ","461207.244729609    ","룸살롱","0","0","기타","기타","상수도전용","","","","","","","","","N","463.51","","",""
"3090000","3090000-102-2001-05657","20010315","","01","영업/정상","01","영업","","","","","02 9973359","537.67","132898","서울특별시 도봉구 창동 9-2번지 ","서울특별시 도봉구 노해로 381, 지하1층 (창동)","01414","준코뮤직타운 창동점","2019-03-13 12:57:10","U","2019-03-15 02:40:00.0","룸살롱","204383.782399605    ","461131.41082739     ","룸살롱","","","","","","","","","","","","","","Y","537.67","","",""
"3090000","3090000-102-2002-00001","20020228","","03","폐업","02","폐업","20040503","","","","02 9961444","170.00","132898","서울특별시 도봉구 창동 13번지 유진빌딩 지하 103호 ","","","밀로스","2002-11-05 00:00:00","I","2018-08-31 23:59:59.0","룸살롱","204317.264907404    ","461224.014056627    ","룸살롱","0","0","유흥업소밀집지역","","상수도전용","","","","","","","","","N","170","","",""
"3090000","3090000-102-2002-00002","20020308","","01","영업/정상","01","영업","","","","","02996 9988","260.60","132898","서울특별시 도봉구 창동 10-3번지 세정빌딩 ","서울특별시 도봉구 노해로69길 15, 세정빌딩 지하1층 (창동)","01414","신세계","2019-11-04 11:43:10","U","2019-11-06 02:40:00.0","룸살롱","204397.004135761    ","461175.40204195     ","룸살롱","","","","","상수도전용","","","","","","","","","Y","260.6","","",""
"3090000","3090000-102-2002-00003","2002-10-10","","03","폐업","02","폐업","2023-10-13","","","","02  900 5252","562.07","132-899","서울특별시 도봉구 창동 14-4","서울특별시 도봉구 마들로11길 25, 지하1층 (창동)","01415","뉴욕클럽","2023-10-16 09:21:09","U","2022-10-30 23:08:00.0","룸살롱","204502.118604099","461278.391079956","","","","","","","","","","","","","","","","","","",""
"3090000","3090000-102-2002-00004","20021111","","01","영업/정상","01","영업","","","","","02 9912191","73.96","132898","서울특별시 도봉구 창동 10-1 ","서울특별시 도봉구 노해로69길 15-15, 104호 (창동, 점보빌딩)","01414","에스비에스","2020-12-14 13:39:42","U","2020-12-16 02:40:00.0","룸살롱","204354.5            ","461162.92           ","룸살롱","0","0","유흥업소밀집지역","관리","상수도전용","","","","","","","","","Y","73.96","","",""
"3090000","3090000-102-2007-00001","20070417","","01","영업/정상","01","영업","","","","","02 9980769","93.60","132898","서울특별시 도봉구 창동 3-3번지 ","서울특별시 도봉구 마들로11길 73, 지하1층 3호,4호 (창동)","01414","가왕","2019-12-19 17:37:12","U","2019-12-21 02:40:00.0","룸살롱","204263.706546457    ","461207.244729609    ","룸살롱","0","0","","","","","","","","","","","","Y","93.6","","",""
"3090000","3090000-102-2007-00002","20070704","","01","영업/정상","01","영업","","","","","0232973535","81.31","132898","서울특별시 도봉구 창동 3-4","서울특별시 도봉구 마들로11길 71, 지하1층 (창동)","01414","엠비씨(M. B. C)","2022-04-19 15:19:25","U","2021-12-03 22:01:00.0","룸살롱","204285.331210395","461213.575148552","","","","","","","","","","","","","","","","","","",""
"3090000","3090000-102-2007-00003","20070710","","01","영업/정상","01","영업","","","","","","68.94","132898","서울특별시 도봉구 창동 3-3 콤마빌딩 지하층 1,2호 ","서울특별시 도봉구 마들로11길 73, 지하층 1,2호 (창동, 콤마빌딩)","01414","와와","2020-08-13 15:43:22","U","2020-08-15 02:40:00.0","룸살롱","204263.706546457    ","461207.244729609    ","룸살롱","","","유흥업소밀집지역","","상수도전용","","","","","","","","","Y","68.94","","",""
"3090000","3090000-102-2007-00004","20071220","","01","영업/정상","01","영업","","","","","02  991 1808","93.75","132898","서울특별시 도봉구 창동 13번지 ","서울특별시 도봉구 마들로11길 65, 지하1층 1호 (창동, 유진빌딩)","01414","부킹","2019-03-13 12:58:57","U","2019-03-15 02:40:00.0","룸살롱","204317.264907404    ","461224.014056627    ","룸살롱","1","","유흥업소밀집지역","","상수도전용","","","","","","","","","Y","93.75","","",""
"3090000","3090000-102-2010-00001","2010-08-19","","03","폐업","02","폐업","2023-09-23","","","","02  991 9911","236.34","132-898","서울특별시 도봉구 창동 12-1 2층 201,202,203,204호","서울특별시 도봉구 노해로69길 21-11, 2층 201,202,203,204호 (창동)","01414","챔프노래타운","2023-10-16 09:03:26","U","2022-10-30 23:08:00.0","룸살롱","204348.91","461195.825","","","","","","","","","","","","","","","","","","",""
"3090000","3090000-102-2011-00001","20110629","","01","영업/정상","01","영업","","","","","02 9983300","97.40","132898","서울특별시 도봉구 창동 6번지 콤마빌딩 지하1층(2,3,4,5,6,7,25,26호) ","서울특별시 도봉구 마들로11가길 15, 지하1층 2,3,4,5,6,7,25,26호 (창동, 콤마빌딩)","01414","엠비씨(MBC)노래장","2019-12-05 16:43:44","U","2019-12-07 02:40:00.0","기타","204279.415          ","461140.88           ","기타","","","","","상수도전용","","","","","","","","","Y","97.4","","",""
"3090000","3090000-102-2012-00001","20120423","","01","영업/정상","01","영업","","","","","02  902 1441","70.23","132898","서울특별시 도봉구 창동 6번지 콤마빌딩 2층 202호 ","서울특별시 도봉구 마들로11가길 15, 2층 202호 (창동)","01414","폭스노래클럽","2019-03-13 13:29:39","U","2019-03-15 02:40:00.0","기타","204279.415          ","461140.88           ","기타","","","유흥업소밀집지역","","상수도전용","","","","","","","","","Y","70.23","","",""
"3090000","3090000-102-2012-00002","20120705","","01","영업/정상","01","영업","","","","","","90.94","132898","서울특별시 도봉구 창동 10-1번지 ","서울특별시 도봉구 노해로69길 15-15, 지하1층 (창동, 점보빌딩(27,28,29,30,39,40,42,43호))","01414","팝콘","2019-10-11 15:47:07","U","2019-10-13 02:40:00.0","룸살롱","204354.5            ","461162.92           ","룸살롱","","","","","","","","","","","","","","Y","90.94","","",""
"3090000","3090000-102-2012-00003","20120801","","01","영업/정상","01","영업","","","","","02  900 1366","98.95","132898","서울특별시 도봉구 창동 13번지 ","서울특별시 도봉구 마들로11길 65, 지하층 3호 (창동, 유진빌딩)","01414","두꺼비노래장","2020-04-07 11:25:59","U","2020-04-09 02:40:00.0","노래클럽","204317.264907404    ","461224.014056627    ","노래클럽","","","유흥업소밀집지역","","상수도전용","","","","","","","","","Y","98.95","","",""
"3090000","3090000-102-2015-00001","20150216","","01","영업/정상","01","영업","","","","","","39.09","132898","서울특별시 도봉구 창동 13-2 B101호","서울특별시 도봉구 마들로11길 57, B1층 101호 (창동, EQ 빌딩)","01414","창동노래타운","2022-09-16 17:38:26","U","2021-12-08 23:08:00.0","기타","204357.382835077","461235.763310872","","","","","","","","","","","","","","","","","","",""
"3090000","3090000-102-2017-00001","20170728","","01","영업/정상","01","영업","","","","","","124.65","132898","서울특별시 도봉구 창동 10-3번지 ","서울특별시 도봉구 노해로69길 15, 5층 (창동, 세정빌딩)","01414","놀이터","2018-03-19 17:19:58","I","2018-08-31 23:59:59.0","노래클럽","204397.004135761    ","461175.40204195     ","노래클럽","","","기타","","상수도전용","","","","","","","","","Y","124.65","","",""
"3090000","3090000-102-2018-00001","20180503","","01","영업/정상","01","영업","","","","","02 9032861","92.00","132898","서울특별시 도봉구 창동 3-3 3층 303호","서울특별시 도봉구 마들로11길 73, 3층 303호 (창동)","01414","스타비어","2022-04-12 17:53:27","U","2021-12-03 23:04:00.0","노래클럽","204263.706546457","461207.244729609","","","","","","","","","","","","","","","","","","",""